number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,state
0,14.218261629343033,2025-04-03 19:18:18.940174,2025-04-03 19:19:04.320517,0 days 00:00:45.380343,32,500000,0.2611910822747312,0.14646688973455957,0.9949763592103507,5.6115164153345e-05,COMPLETE
1,11.440809890627861,2025-04-03 19:19:04.387590,2025-04-03 19:19:51.163636,0 days 00:00:46.776046,256,50000,0.09445645065743215,0.4455560149136927,0.9212126771567598,0.000462258900102083,COMPLETE
2,22.72003113478422,2025-04-03 19:19:51.172226,2025-04-03 19:20:39.718067,0 days 00:00:48.545841,128,200000,0.059451995869314544,0.5860358815211507,0.978439078543162,8.168455894760161e-05,COMPLETE
3,16.91923627257347,2025-04-03 19:20:39.723585,2025-04-03 19:21:34.465047,0 days 00:00:54.741462,32,100000,0.2737029166028468,0.12751081689217472,0.9097574441892378,4.066563313514796e-05,COMPLETE
4,30.574005141854286,2025-04-03 19:21:34.471044,2025-04-03 19:22:25.546395,0 days 00:00:51.075351,32,500000,0.2773435281567039,0.5783199830488681,0.9184669601070001,0.00012399967836846095,COMPLETE
5,38.01721039414406,2025-04-03 19:22:25.552434,2025-04-03 19:23:18.696612,0 days 00:00:53.144178,32,100000,0.2426371244186715,0.21273937997981013,0.9271077682742123,5.989003672254293e-05,COMPLETE
6,4.9335875026881695,2025-04-03 19:23:18.704021,2025-04-03 19:24:14.911568,0 days 00:00:56.207547,128,50000,0.04360202726228762,0.38677258283541815,0.981464596702638,1.0257563974185649e-05,COMPLETE
7,1.063900876790285,2025-04-03 19:24:14.917660,2025-04-03 19:25:03.973886,0 days 00:00:49.056226,128,200000,0.21684098829466855,0.19567539675064138,0.932485813870472,4.187594718900626e-05,COMPLETE
8,8.667464409663808,2025-04-03 19:25:03.979853,2025-04-03 19:25:56.961030,0 days 00:00:52.981177,256,50000,0.1574855004377638,0.3514847848610614,0.9427113477340191,0.00011103647313054615,COMPLETE
9,38.01721039414406,2025-04-03 19:25:56.971047,2025-04-03 19:26:53.838546,0 days 00:00:56.867499,128,200000,0.2627235711544381,0.6067230052083388,0.9076902929918964,2.8681134821030064e-05,COMPLETE
10,7.521572098135948,2025-04-03 19:26:53.854822,2025-04-03 19:27:45.200601,0 days 00:00:51.345779,64,100000,0.17402779629760692,0.8458322735294297,0.96050631835892,0.0003584876937223997,COMPLETE
11,27.521100068464875,2025-04-03 19:27:45.207461,2025-04-03 19:28:25.780037,0 days 00:00:40.572576,64,200000,0.21833031082110815,0.7418674604711404,0.9017034956552155,1.684562012075723e-05,COMPLETE
12,56.1693220436573,2025-04-03 19:28:25.788752,2025-04-03 19:29:08.536872,0 days 00:00:42.748120,32,100000,0.21006822277141063,0.703717287817962,0.9291946227036485,2.4255479178765068e-05,COMPLETE
13,161.7809536382556,2025-04-03 19:29:08.543100,2025-04-03 19:29:53.764735,0 days 00:00:45.221635,32,100000,0.21800696652201412,0.28187412981992854,0.9517641006498655,0.00020578158886135563,COMPLETE
14,13.546168684959412,2025-04-03 19:29:53.772814,2025-04-03 19:30:35.468427,0 days 00:00:41.695613,32,100000,0.188472933674475,0.7583272588004591,0.9563600749790533,0.00022740236564099142,COMPLETE
15,14.754010885953903,2025-04-03 19:30:35.476980,2025-04-03 19:31:20.818031,0 days 00:00:45.341051,32,100000,0.11975014975890366,0.29324394638427165,0.9424452161136203,0.0009970682275036447,COMPLETE
16,55.911347672343254,2025-04-03 19:31:20.824372,2025-04-03 19:32:03.331665,0 days 00:00:42.507293,32,100000,0.299507273397242,0.6904786737009859,0.9665164569379149,0.00017755729469233033,COMPLETE
17,-3.2428646087646484,2025-04-03 19:32:03.338984,2025-04-03 19:32:46.055345,0 days 00:00:42.716361,32,100000,0.12588372615044607,0.8848822599889425,0.9399580718684332,1.613810815133555e-05,COMPLETE
18,4.490413181483746,2025-04-03 19:32:46.062429,2025-04-03 19:33:31.337221,0 days 00:00:45.274792,256,100000,0.20445809135541704,0.49410683359659413,0.9521480406191108,0.0007501054462493084,COMPLETE
19,10.202338635921478,2025-04-03 19:33:31.346109,2025-04-03 19:34:21.022178,0 days 00:00:49.676069,64,500000,0.23148674452530732,0.3191587265500333,0.9315491516878696,0.00025815325463280817,COMPLETE
